Catogory,Body
PROMOTION,"Dear Customer, catch the World Digital Premiere of Vijay Sethupathi's latest hit 'Viduthalai' & get Rs.400 OFF on your ZEE5 Premium! https://bit.ly/41J8teA"
PROMOTION,"Dear Patron,You have an Avantra by Trends voucher of Rs.500. Redeemable on shopping of Rs.1499.Visit the nearest store. Click bit.ly/3pONwh8 to visit us. T&C"
PROMOTION,"Dear Customer,Big Summer Sale on JioMart. Get up to 60% off on dry fruits,edible oils,atta,dal,basmati rice & more. Shop now- http://1kx.in/ilJLIO *TCA"
PROMOTION,"Maansarovar Honda: Dear Customer, insurance renewal of your bike Honda, is expiring in 15 days on 15 May. Your special price for a 1 Yr Own Damage Cover is Rs.996/- (incl. RSA)*. Renew at i.icicilombard.com/fuwxfr0n or call 7200013781 *Subject: Data Accuracy"
PROMOTION,"Order for Cons No 7100006044 is registered with Ref No.2-002874449993.Refil expected delivery: 2 days.Pay by https://payit.cc/I3050195645
INDANE"
PROMOTION,Relax and make most of your Sunday with KFC Sunday Feast now @42% off! Hurry and order now! bit.ly/42d2YEZ TnC*
PROMOTION,"Ek love story jisme hai bahot saare twists. Dekhe 'Hum Rahe Na Rahe Hum' JioTV par abhi
https://bit.ly/SMSJioTV4"
TRANSACTION,"Dear Mr BALAJI  THILAGAR, we are processing your policy generation request for issuance of a motor policy for Order ID ILAN3818263. You will receive a copy of your policy via email shortly"
PROMOTION,"Dear Mr BALAJI  THILAGAR, we are pleased to inform you that we have reduced our rates for the same coverage selected by you. We have initiated a partial refund of Rs 18. Your new policy number is 3005/O/289810056/00/000 against Order ID ILAN3818263. Download your policy certificate by clicking on {download_link} Please call 18002666 for queries"
TRANSACTION,"Dear Mr BALAJI  THILAGAR, ICICI Lombard has received your payment of Rs 761 for issuance of a motor policy for Order ID ILAN3818263. However, your policy will not be generated until you fill the remaining details on http://1kx.in/UwYM52byobc"
PROMOTION,TN22DW3255 Pollution Under Control Certificate is valid upto 16-May-2023. Kindly test your vehicle and get PUC certificate in time to avoid further action. MoRTH
TRANSACTION,"Dear Customer, Thank you for choosing ICICI Lombard General Insurance as your preferred Insurance partner. We have received your payment of Rs.743 against policy number 3005/O/289810056/00/000.Issuance of Policy is subject to Proposal acceptance and Premium realization. Team ICICI Lombard"
PROMOTION,"DearBALAJI, 
Bring home baby care products worth Rs.1500 or more, and avail cashback worth Rs.100. Code: BABY100
Tap https://rujq.in/klZrv0 Apollo24|7"
PROMOTION,"Dear Customer,7 Max Saving Days is Live on JioMart. Save big on all your monthly grocery shopping. Get up to 50% off. Shop now- http://1kx.in/3ytlfM *TCA"
PROMOTION,"Mr/Ms BALAJI,Thangamayil Summer Sale, 30gms Silver free for every 10gms of Gold* & Gift for every 1 Lakh purchase. Code XXXXXX Valid 31May bit.ly/SmRO23"
PROMOTION,"Dear customer,
We're sad to see you go.
Please tell us why you uninstalled the Licious app.
klr.pw/survey3
To opt-out, call: 08061914169
-Licious"
PROMOTION,"Mr/Ms BALAJI,Thangamayil Summer Sale, 30gms Silver free for every 10gms of Gold* & Gift for every 1 Lakh purchase. Code 0WYBI Valid 31May bit.ly/SmRO23"
PROMOTION,Life is better with YOUR favourite diamonds! Get NEW CaratLane designs home. Redeem xCLusive pts for a sweet deal. Shop now: http://1kx.in/iQKUVf TCA
PROMOTION,You have a special delivery :) Your Rs. 500 Shaya Voucher CSMU3TBX is here! Redeem on Silver Jewellery over Rs. 1500. Valid till 9th May. Shop Now: bit.ly/3AM0UrM
PROMOTION,"Dear customer, Your special discount of upto Rs.3000 purchase at grtjewels.com will expire soon, Wapp ""Hi"" to t.ly/wLEK  T&C"
PROMOTION,"Dear Patron,Celebrate Wedding & Festivities with Avantra By Trends. Get up to 20% Off* on shopping of Rs.4999 & above. Click bit.ly/3pONwh8 to visit us. T&C"
PROMOTION,"JioFiber! A One Stop Shop for your Entertainment Needs. Watch a variety of Genres from Comedy, Crime, Documentaries, Thrillers, Drama, Action, History, Horror & much more with 14 OTT Apps. Plans start at just Rs. 599/Month. Click www.jio.com/r/v39Fg09VK to book your JioFiber plan Now!"
PROMOTION,Save upto Rs765 by screaming! Shout HOWZZAT on the KFC app and get a finger lickin' good deal on Wednesday Strips Bucket. Order now! bit.ly/41WERud TnC*
PROMOTION,"Finest Wedding Jewellery only from Sree Kumaran Thangamaligai with the lowest price in market @TNagar, Velachery, Chrompet & Tiruvalur. bit.ly/3NlrXBM -SKTMCH"
PROMOTION,"Finest Wedding Jewellery only from Sree Kumaran Thangamaligai with the lowest price in market @TNagar, Velachery, Chrompet & Tiruvalur. bit.ly/3NlrXBM -SKTMCH"
TRANSACTION,"Invoice generated for Rs. 1118.5.Share DAC 3680 on delivery. Download eInvoice https://cx.indianoil.in/webcenter/portal/LPG/pages_h?cId=8623349979
INDANE"
PROMOTION,"Hi Balaji, Get Zebronics Bluetooth Speaker at Rs 499 + Extra 10% coupon, exclusively for you! Shop now on Tata Neu https://tneu.in/y1OxiSCZ T&C apply"
PROMOTION,"Repay your spends on HDFC Bank Credit Card No.XX6398 into EMI Right Now at Guaranteed best rate.
Continue with our New & Easy portal hdfcbk.io/F56ZEZTW5V73 TnC"
PROMOTION,"Dear BALAJI,
Book 2 Apollo Full Body Essential packages with 128 Health Credits. FLAT 25% OFF on the 2nd. Code: FULLBODY25. Tap https://yivt.in/ptAxSM"
TRANSACTION,"Units against Voluntary Contribution Rs.3,000.00 credited to PRAN XX2610, NAV of 02/05/23.Plan retirement with NPP.Click- https://bit.ly/3OY8K80 -Protean"
TRANSACTION,"PNR:4447909633,TRN:20682,DOJ:28-05-23,SL,APK-MS,DP:19:35,Boarding at APK only,
NEELAVENI,S7 57,
Fare:350,C Fee:17.7+PG
QR Code URL qr.indianrail.gov.in/ -IRCTC"
PROMOTION,"Hi, to get a new SIM, you can visit us at any near by Airtel store. To locate the store, click https://i.airtel.in/nearbyStore"
PROMOTION,"OTT + Music Combo for entertainment lovers like you!
Subscribe to Wynk Premium at just Rs.49/month and get 1 FREE OTT subscription on the Airtel Xstream app. Choose from OTTs like Sony LIV, LionsgatePlay & more.
Recharge today open.wynk.in/Wynkxmp"
PROMOTION,"JioFiber! A One Stop Shop for your Entertainment Needs. Watch a variety of Genres from Comedy, Crime, Documentaries, Thrillers, Drama, Action, History, Horror & much more with 14 OTT Apps. Plans start at just Rs. 599/Month. Click www.jio.com/r/v4ucBiYXJ to book your JioFiber plan Now!"
TRANSACTION,"Your order is delivered with invoice no. 5-103113597433. eInvoice & give feedback https://cx.indianoil.in/webcenter/portal/LPG/pages_rf?cId=8623349979
INDANE"
PROMOTION,Airtel 5G Plus is now live in your city. Join 10 million Airtel customers on 5G to enjoy up to 30X faster speeds & improved network coverage. Enjoy 5G speeds by recharging with Rs 19 for 1GB for a day. u.airtel.in/rch3.
PROMOTION,"Dear customer,
We're sad to see you go.
Please tell us why you uninstalled the Licious app.
klr.pw/survey3
To opt-out, call: 08061914169
-Licious"
PROMOTION,"Thriller, mystery & a lot of drama. Watch 'The Blacklist' on JioTV. Install now
https://bit.ly/SMSJioTV4"
PROMOTION,"JioFiber! A One Stop Shop for your Entertainment Needs. Watch a variety of Genres from Comedy, Crime, Documentaries, Thrillers, Drama, Action, History, Horror & much more with 14 OTT Apps. Plans start at just Rs. 599/Month. Click www.jio.com/r/v4Q64Mvb7 to book your JioFiber plan Now!"
PROMOTION,"JioFiber! A One Stop Shop for your Entertainment Needs. Watch a variety of Genres from Comedy, Crime, Documentaries, Thrillers, Drama, Action, History, Horror & much more with 14 OTT Apps. Plans start at just Rs. 599/Month. Click www.jio.com/r/v4QHL7wcT to book your JioFiber plan Now!"
PROMOTION,"Dear Customer, get upto Rs. 500000 limit on pre-approved BFL RBL Bank Super Card. Apply Now & get instant approval 
http://m.BajFin.in/KdREkKEA
 TnC"
TRANSACTION,"Dear Customer, Balance in your A/C XX6203 as on 05-05-2023 is Rs. 167.60. Get VDC for e-com transactions bit.ly/IPPB-MBApp Download App-IPPB"
